distid,X2019,X2020,,,,distid,X2019,X2020,perc Contr,cum %,80th Percentile,,distid,X2019,X2020,perc Contr,cum %,,,
101,NA,NA,,,,2308,15091,24366,0.092316068,0.092316068,907,Quintile,2308,15091,24366,0.108924612,0.108924612,,90% for 2020,"2308, 2302, 2306, 2304, 1906, 2303, 2407, 1905, 2311, 2307, 1903, 2601, 2105, 2312, 2313, 1904, 1115, 2416, 2605, 2205, 2604, 2106, 1608, 2305, 2415, 1606, 3106, 2111, 1803, 2705, 2301, 1607, 805, 1116, 2603"
102,NA,NA,,,,2302,14733,17365,0.090126077,0.182442146,,0.5,2302,14733,17365,0.077627673,0.186552285,,90% for 2019,"2308, 2302, 2306, 2304, 2303, 2407, 2307, 2311, 1906, 1905, 2601, 2312, 2605, 2105, 1608, 1606, 2416, 2313, 1115, 2604, 2301, 2205, 2305, 3106, 2106, 2111, 2415, 1607, 1116, 2706, 809, 2406, 2408, 2603"
103,NA,NA,,,,2306,13848,15798,0.084712273,0.267154419,,0.8,2306,13848,15798,0.070622631,0.257174916,,,
104,NA,NA,,,,2304,12444,15624,0.076123594,0.343278013,,,2304,12444,15624,0.069844789,0.327019705,,,
105,NA,NA,,,,2303,9861,10831,0.060322626,0.403600639,,,1906,6225,11174,0.04995172,0.376971426,"2308, 2302, 2306, 2304, 1906, 2303, 2407, 1905, 2311, 2307, 1903, 2601, 2105, 2312, 2313, 1904, 1115, 2416, 2605, 2205, 2604, 2106, 1608, 2305, 2415, 1606, 3106, 2111, 1803, 2705, 2301, 1607",,
106,NA,NA,,,,2407,7463,10812,0.045653357,0.449253996,,,2303,9861,10831,0.048418389,0.425389815,,,
107,NA,NA,,,,2307,7371,7863,0.045090567,0.494344563,,,2407,7463,10812,0.048333453,0.473723267,,,
108,NA,NA,,,,2311,6388,9372,0.039077268,0.53342183,,,1905,5383,9497,0.042454939,0.516178206,,,
109,NA,NA,,,,1906,6225,11174,0.038080149,0.571501979,,,2311,6388,9372,0.041896145,0.558074351,,,
110,NA,NA,,,,1905,5383,9497,0.032929388,0.604431367,,,2307,7371,7863,0.035150383,0.593224734,,,
111,NA,NA,,,,2601,5050,6065,0.03089233,0.635323697,,,1903,538,6365,0.028453794,0.621678528,,,
2308,15091,24366,,,,2312,4194,4386,0.025655927,0.660979623,,,2601,5050,6065,0.027112689,0.648791217,,,
113,NA,NA,,,,2605,3258,3063,0.019930141,0.680909764,,,2105,3102,4548,0.020331164,0.66912238,,,
114,NA,NA,,,,2105,3102,4548,0.018975843,0.699885607,,,2312,4194,4386,0.019606967,0.688729347,,,
115,NA,NA,,,,1608,2782,2354,0.017018309,0.716903916,,,2313,2235,4195,0.018753129,0.707482476,,,
201,NA,NA,,,,1606,2647,2030,0.016192475,0.73309639,,,1904,503,3688,0.01648666,0.723969137,,,
202,NA,NA,,,,2416,2561,3166,0.015666387,0.748762777,,,1115,2142,3420,0.015288606,0.739257743,,,
2302,14733,17365,,,,2313,2235,4195,0.01367215,0.762434927,,,2416,2561,3166,0.014153136,0.753410879,,,
2306,13848,15798,,,,1115,2142,3420,0.013103242,0.775538169,,,2605,3258,3063,0.01369269,0.767103569,,,
2304,12444,15624,,,,2604,2064,2575,0.012626093,0.788164262,,,2205,1911,2752,0.01230241,0.77940598,,,
1906,6225,11174,,,,2301,2039,1583,0.01247316,0.800637422,,,2604,2064,2575,0.011511158,0.790917138,,,
2303,9861,10831,,,,2205,1911,2752,0.011690147,0.812327569,,,2106,1589,2445,0.010930012,0.80184715,,,
301,NA,NA,,,,2305,1857,2340,0.011359813,0.823687382,,,1608,2782,2354,0.01052321,0.81237036,,,
302,NA,NA,,,,3106,1623,2004,0.009928366,0.833615748,,,2305,1857,2340,0.010460625,0.822830985,,,
303,NA,NA,,,,2106,1589,2445,0.009720379,0.843336127,,,2415,1418,2081,0.009302804,0.832133789,,,
304,NA,NA,,,,2111,1560,1810,0.009542977,0.852879104,,,1606,2647,2030,0.009074816,0.841208605,,,
305,NA,NA,,,,2415,1418,2081,0.008674321,0.861553425,,,3106,1623,2004,0.008958587,0.850167191,,,
306,NA,NA,,,,1607,1363,1453,0.00833787,0.869891296,,,2111,1560,1810,0.008091338,0.858258529,,,
307,NA,NA,,,,1116,1144,1422,0.006998183,0.876889479,,,1803,519,1625,0.007264323,0.865522852,,,
308,NA,NA,,,,2706,907,412,0.005548385,0.882437864,,,2705,574,1602,0.007161505,0.872684357,,,
309,NA,NA,,,,809,886,248,0.005419922,0.887857785,,,2301,2039,1583,0.007076568,0.879760926,,,
310,NA,NA,,,,2406,800,1362,0.004893834,0.89275162,,,1607,1363,1453,0.006495422,0.886256348,,,
401,NA,NA,,,,2408,783,1010,0.00478984,0.89754146,,,805,396,1429,0.006388134,0.892644482,,,
402,NA,NA,,,,2603,762,1380,0.004661377,0.902202837,,,1116,1144,1422,0.006356841,0.899001323,,,
403,NA,NA,,,,804,730,173,0.004465624,0.906668461,,,2603,762,1380,0.006169087,0.90517041,,,
404,NA,NA,,,,1711,620,663,0.003792722,0.910461183,,,2406,800,1362,0.00608862,0.91125903,,,
405,NA,NA,,,,2705,574,1602,0.003511326,0.913972509,,,2309,561,1315,0.005878514,0.917137544,,,
406,NA,NA,,,,1103,569,564,0.00348074,0.917453249,,,2408,783,1010,0.004515056,0.9216526,,,
407,NA,NA,,,,2309,561,1315,0.003431801,0.92088505,,,2103,318,924,0.004130606,0.925783206,,,
408,NA,NA,,,,1903,538,6365,0.003291104,0.924176154,,,2405,482,871,0.003893677,0.929676883,,,
409,NA,NA,,,,1803,519,1625,0.003174875,0.927351029,,,2403,124,810,0.003620986,0.933297869,,,
501,NA,NA,,,,1904,503,3688,0.003076998,0.930428027,,,1804,221,752,0.003361705,0.936659574,,,
502,NA,NA,,,,2405,482,871,0.002948535,0.933376562,,,1102,380,744,0.003325942,0.939985516,,,
503,NA,NA,,,,813,464,17,0.002838424,0.936214986,,,2102,445,723,0.003232065,0.943217581,,,
504,NA,NA,,,,2102,445,723,0.002722195,0.938937182,,,1802,18,671,0.002999607,0.946217188,,,
505,NA,NA,,,,905,408,484,0.002495856,0.941433037,,,1711,620,663,0.002963844,0.949181031,,,
506,NA,NA,,,,805,396,1429,0.002422448,0.943855485,,,1902,43,642,0.002869966,0.952050998,,,
507,NA,NA,,,,1102,380,744,0.002324571,0.946180056,,,3101,280,572,0.002557042,0.954608039,,,
601,NA,NA,,,,1124,327,125,0.002000355,0.948180411,,,1103,569,564,0.002521279,0.957129318,,,
602,NA,NA,,,,2103,318,924,0.001945299,0.95012571,,,2310,105,560,0.002503397,0.959632716,,,
603,NA,NA,,,,3404,318,315,0.001945299,0.95207101,,,1907,314,507,0.002266469,0.961899185,,,
2407,7463,10812,,,,1808,316,108,0.001933065,0.954004074,,,2701,NA,490,0.002190473,0.964089657,,,
1905,5383,9497,,,,1907,314,507,0.00192083,0.955924904,,,905,408,484,0.002163651,0.966253308,,,
606,NA,NA,,,,2602,312,255,0.001908595,0.9578335,,,2706,907,412,0.001841785,0.968095093,,,
607,NA,NA,,,,1015,305,374,0.001865774,0.959699274,,,1015,305,374,0.001671912,0.969767005,,,
608,NA,NA,,,,2006,284,236,0.001737311,0.961436585,,,1809,84,354,0.001582505,0.97134951,,,
609,NA,NA,,,,3101,280,572,0.001712842,0.963149427,,,3404,318,315,0.001408161,0.972757671,,,
610,NA,NA,,,,1014,278,41,0.001700607,0.964850035,,,605,123,289,0.001291932,0.974049603,,,
611,NA,NA,,,,1703,267,242,0.001633317,0.966483352,,,112,199,284,0.00126958,0.975319183,,,
612,NA,NA,,,,1701,228,156,0.001394743,0.967878095,,,1302,139,263,0.001175703,0.976494886,,,
613,NA,NA,,,,3102,223,NA,0.001364156,0.969242251,,,2602,312,255,0.00113994,0.977634826,,,
614,NA,NA,,,,1804,221,752,0.001351922,0.970594173,,,809,886,248,0.001108647,0.978743473,,,
615,NA,NA,,,,2404,218,236,0.00133357,0.971927743,,,1703,267,242,0.001081825,0.979825299,,,
616,NA,NA,,,,3409,216,170,0.001321335,0.973249078,,,2006,284,236,0.001055003,0.980880302,,,
617,NA,NA,,,,112,199,284,0.001217341,0.974466419,,,2404,218,236,0.001055003,0.981935305,,,
618,NA,NA,,,,901,189,NA,0.001156168,0.975622587,,,1312,111,223,0.000996889,0.982932194,,,
619,NA,NA,,,,815,184,18,0.001125582,0.976748169,,,2707,139,180,0.000804663,0.983736857,,,
701,NA,NA,,,,2505,146,155,0.000893125,0.977641294,,,2203,91,179,0.000800193,0.98453705,,,
702,NA,NA,,,,2709,142,69,0.000868656,0.97850995,,,804,730,173,0.000773371,0.985310421,,,
703,NA,NA,,,,903,141,171,0.000862538,0.979372488,,,903,141,171,0.00076443,0.986074852,,,
704,NA,NA,,,,1302,139,263,0.000850304,0.980222792,,,3409,216,170,0.00075996,0.986834812,,,
705,NA,NA,,,,2707,139,180,0.000850304,0.981073096,,,1701,228,156,0.000697375,0.987532187,,,
706,NA,NA,,,,3402,132,105,0.000807483,0.981880578,,,2507,37,156,0.000697375,0.988229562,,,
707,NA,NA,,,,1612,125,19,0.000764662,0.98264524,,,2505,146,155,0.000692905,0.988922466,,,
708,NA,NA,,,,2403,124,810,0.000758544,0.983403784,,,2402,1,145,0.000648201,0.989570667,,,
709,NA,NA,,,,605,123,289,0.000752427,0.984156211,,,1124,327,125,0.000558794,0.990129461,,,
710,NA,NA,,,,904,123,15,0.000752427,0.984908638,,,803,81,110,0.000491739,0.9906212,,,
